timestamp,top_temp,bottom_temp
19/10/2019: 14:24:04,9.0,8.5
19/10/2019: 14:24:25,9.0,8.5
30/11/2019: 08:05:51,13.375,10.75
30/11/2019: 08:06:12,13.375,10.75
11/01/2020: 08:13:05,14.25,12.625
01/03/2020: 08:07:22,16.5,15.5
01/03/2020: 08:07:43,16.5,15.5
22/03/2020: 18:40:45,13.75,14.375
22/03/2020: 18:41:06,13.75,14.375
22/03/2020: 18:41:28,13.75,14.375
22/03/2020: 18:41:49,13.75,14.25
22/03/2020: 18:42:11,13.75,14.375
22/03/2020: 18:42:32,13.625,14.25
22/03/2020: 18:42:53,13.625,14.375
22/03/2020: 18:43:15,13.625,14.25
22/03/2020: 18:43:36,13.625,14.25
22/03/2020: 18:43:57,13.625,14.25
22/03/2020: 18:44:19,13.625,14.25
23/05/2020: 12:26:38,7.875,9.625
